player_id,game_year,PAs,age,weighted_PAs
003af1e4636109b822c9acfa703cb517c46d89fc,2022,140,27,162
00e99b6a19161174f9f6520a80783c70236d8403,2022,258,26,36
01062805175a65bbfb5e2024853137219296e26c,2022,425,34,558
020e1c97d88916739bc1c2276a6ef8e91447443f,2022,171,25,197
0250bb29dfa83e5e2d855c2f18d826b57cde4191,2022,608,25,584
02608b1a3a44adacbae06ceb30accc9110a0e336,2022,469,31,250
02bb069b777c03d0c54f558342343bebeed3b402,2022,382,28,254
031430dc518164c6d1cb405740f96f9385674ba0,2022,541,26,131
036bb24338d2cb9318ab0cc768eeee1d32515369,2022,123,31,375
037158ce34a79cee4dd9ddafd4c7b8ca90327429,2022,538,30,545
039b39385faa43693cf102b50f9495344b15b285,2022,343,24,248
03a331b503c0497a3d4cfacd5742d34739d29080,2022,33,27,295
041315d0596ffddb891dd84ae1bb692431921fe6,2022,472,24,567
043aacf89c75553ed221af33bd5f157575ab0f96,2022,174,24,56
046aa119cf276cb291309b36e32ae78957fe3818,2022,533,30,374
04919f19fd9c50566716c96ff5f0615b14ccfe3d,2022,589,29,545
04f9c2f30346853e09f3678562b61e8957eef0aa,2022,603,25,657
061eb45e0292790d19a0638e0bd4edb4dad2d319,2022,392,24,449
06662d5b2e1290f7ee60a65ca4d0f90c3ddd9581,2022,285,31,498
073c953adf860e87af6671245c3aba319b72e225,2022,658,23,631
07bf5f8d6cfdbe80de149203c913ffd26de27de9,2022,265,27,185
07f0a4be81a4415806197d0a1b0339917fa0ae01,2022,299,26,277
07fdf16fffcf71dcb7fb848addba74df1ee36048,2022,155,25,120
083d603cf3249f2f57c04b16db50218beba3c152,2022,110,32,209
08c5771a634d6ce1269b5e03de7c96ef0a856558,2022,247,26,205
099f3caaed41f6345911adda9cbfae974cbdb9a9,2022,41,30,229
09c4fd07f6de14adc4edeed0aacd4b55f3bbad50,2022,420,26,124
09e6f8d367dd945ef1b220557afde3b68449e875,2022,23,31,135
0a7f2f087c76f9bd4768f7ecc4ee64ca76cc0a33,2022,159,38,247
0ad2e5cf1e052b219e6b8b806a56a9eb96cb29be,2022,643,27,600
0b7ac2052237fe7518844407df4c965305fae3a9,2022,1,27,3
0c55d44ed69e8e022327a2e878343216c0b246c4,2022,183,25,401
0ca329fc49d750ff089b64c0dcb78465bba6ca5e,2022,153,36,248
0cdc8c492978d2ef0285cdf8f5236684314a12cd,2022,558,30,580
0dd87d3394b8e4828b192487a4d747744bc39cf4,2022,541,33,625
0e86bc7879803f7bcc6f16386e6f64c578a22199,2022,225,27,292
0f423ceb0b439bee8578392faa44aea4bad7dc97,2022,128,27,238
